,time,rate
org.apache.avro.generic.TestGenericRecordBuilder.attemptToSetNonNullableFieldToNull,0.001,0.028985507246376812
org.apache.avro.generic.TestGenericRecordBuilder.buildWithoutSettingRequiredFields1,0.001,0.057971014492753624
org.apache.avro.generic.TestGenericRecordBuilder.buildWithoutSettingRequiredFields2,0.001,0.06884057971014493
org.apache.avro.generic.TestGenericRecordBuilder.testGenericBuilder,0.001,0.3164251207729469
org.apache.avro.util.TestUtf8.testArrayReusedWhenLargerThanRequestedSize,0.001,0.013285024154589372
org.apache.avro.util.TestUtf8.testByteConstructor,0.001,0.007246376811594203
org.apache.avro.util.TestUtf8_1.testByteArrayConstructor_EmptyBytes_Success,0.001,0.013285024154589372
org.apache.avro.util.TestUtf8_1.testByteArrayConstructor_ValidBytes_Success,0.001,0.014492753623188406
org.apache.avro.util.TestUtf8_1.testCharAt_InvalidIndex_ThrowsException,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testCharAt_ValidIndex_ReturnsCorrectChar,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testCompareTo_EmptyStrings_ReturnsZero,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testCompareTo_EmptyVsNonEmpty_ReturnsNegative,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testCompareTo_EqualStrings_ReturnsZero,0.001,0.008454106280193236
org.apache.avro.util.TestUtf8_1.testCompareTo_GreaterThan_ReturnsPositive,0.001,0.008454106280193236
org.apache.avro.util.TestUtf8_1.testCompareTo_LessThan_ReturnsNegative,0.001,0.008454106280193236
org.apache.avro.util.TestUtf8_1.testCopyConstructor_EmptyUtf8_Success,0.001,0.016908212560386472
org.apache.avro.util.TestUtf8_1.testCopyConstructor_LargeUtf8_Success,0.001,0.018115942028985508
org.apache.avro.util.TestUtf8_1.testCopyConstructor_ValidUtf8_CreatesNewByteArray,0.001,0.01932367149758454
org.apache.avro.util.TestUtf8_1.testDefaultConstructor_EmptyUtf8_Success,0.001,0.013285024154589372
org.apache.avro.util.TestUtf8_1.testEquals_DifferentContent_ReturnsFalse,0.001,0.016908212560386472
org.apache.avro.util.TestUtf8_1.testEquals_DifferentLength_ReturnsFalse,0.001,0.013285024154589372
org.apache.avro.util.TestUtf8_1.testEquals_DifferentType_ReturnsFalse,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testEquals_EmptyUtf8_ReturnsTrue,0.001,0.016908212560386472
org.apache.avro.util.TestUtf8_1.testEquals_NullObject_ReturnsFalse,0.001,0.010869565217391304
org.apache.avro.util.TestUtf8_1.testEquals_SameContent_ReturnsTrue,0.001,0.016908212560386472
org.apache.avro.util.TestUtf8_1.testEquals_SameInstance_ReturnsTrue,0.001,0.00966183574879227
org.apache.avro.util.TestUtf8_1.testGetByteLength_ReturnsCorrectLength_Success,0.001,0.008454106280193236
org.apache.avro.util.TestUtf8_1.testGetBytesFor_EmptyString_ReturnsEmptyArray,0.001,0.007246376811594203
org.apache.avro.util.TestUtf8_1.testGetBytesFor_UnicodeString_ReturnsCorrectBytes,0.001,0.007246376811594203
org.apache.avro.util.TestUtf8_1.testGetBytesFor_ValidString_ReturnsUtf8Bytes,0.002,0.007246376811594203
org.apache.avro.util.TestUtf8_1.testGetBytes_ReturnsInternalArray_Success,0.001,0.013285024154589372
org.apache.avro.util.TestUtf8_1.testGetLength_Deprecated_ReturnsCorrectLength,0.001,0.00966183574879227
org.apache.avro.util.TestUtf8_1.testHashCode_ConsistentAcrossCalls_Success,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testHashCode_DifferentContent_DifferentHashCode,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testHashCode_EmptyUtf8_ReturnsZero,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testHashCode_SameContent_SameHashCode,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testLength_CharSequence_ReturnsCharacterCount,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testLength_Unicode_ReturnsCharacterCount,0.001,0.012077294685990338
org.apache.avro.util.TestUtf8_1.testSetByteLength_ExceedsMaxLength_ThrowsException,0.001,0.007246376811594203
org.apache.avro.util.TestUtf8_1.testSetByteLength_ExpandArray_CreatesNewArrayAndCopiesData,0.001,0.021739130434782608
org.apache.avro.util.TestUtf8_1.testSetByteLength_ReturnsThis_ForMethodChaining,0.001,0.014492753623188406
