,time,rate
org.apache.avro.generic.TestGenericRecordBuilder.buildWithoutSettingRequiredFields1,0.001,0.05889423076923077
org.apache.avro.generic.TestGenericRecordBuilder.buildWithoutSettingRequiredFields2,0.001,0.06971153846153846
org.apache.avro.generic.TestGenericRecordBuilder.testGenericBuilder,0.001,0.31971153846153844
org.apache.avro.util.TestUtf8.testArrayReusedWhenLargerThanRequestedSize,0.001,0.013221153846153846
org.apache.avro.util.TestUtf8.testByteConstructor,0.001,0.007211538461538462
org.apache.avro.util.TestUtf8_1.testByteArrayConstructor_EmptyBytes_Success,0.001,0.013221153846153846
org.apache.avro.util.TestUtf8_1.testByteArrayConstructor_ValidBytes_Success,0.001,0.014423076923076924
org.apache.avro.util.TestUtf8_1.testCharAt_InvalidIndex_ThrowsException,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testCharAt_ValidIndex_ReturnsCorrectChar,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testCompareTo_EmptyStrings_ReturnsZero,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testCompareTo_EmptyVsNonEmpty_ReturnsNegative,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testCompareTo_EqualStrings_ReturnsZero,0.001,0.008413461538461538
org.apache.avro.util.TestUtf8_1.testCompareTo_GreaterThan_ReturnsPositive,0.001,0.008413461538461538
org.apache.avro.util.TestUtf8_1.testCompareTo_LessThan_ReturnsNegative,0.001,0.008413461538461538
org.apache.avro.util.TestUtf8_1.testCopyConstructor_EmptyUtf8_Success,0.001,0.018028846153846152
org.apache.avro.util.TestUtf8_1.testCopyConstructor_LargeUtf8_Success,0.001,0.019230769230769232
org.apache.avro.util.TestUtf8_1.testCopyConstructor_ValidUtf8_CreatesNewByteArray,0.001,0.020432692307692308
org.apache.avro.util.TestUtf8_1.testDefaultConstructor_EmptyUtf8_Success,0.001,0.013221153846153846
org.apache.avro.util.TestUtf8_1.testEquals_DifferentContent_ReturnsFalse,0.001,0.016826923076923076
org.apache.avro.util.TestUtf8_1.testEquals_DifferentLength_ReturnsFalse,0.001,0.013221153846153846
org.apache.avro.util.TestUtf8_1.testEquals_DifferentType_ReturnsFalse,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testEquals_EmptyUtf8_ReturnsTrue,0.001,0.016826923076923076
org.apache.avro.util.TestUtf8_1.testEquals_NullObject_ReturnsFalse,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testEquals_SameContent_ReturnsTrue,0.001,0.016826923076923076
org.apache.avro.util.TestUtf8_1.testEquals_SameInstance_ReturnsTrue,0.001,0.009615384615384616
org.apache.avro.util.TestUtf8_1.testGetByteLength_ReturnsCorrectLength_Success,0.001,0.008413461538461538
org.apache.avro.util.TestUtf8_1.testGetBytesFor_EmptyString_ReturnsEmptyArray,0.001,0.007211538461538462
org.apache.avro.util.TestUtf8_1.testGetBytesFor_UnicodeString_ReturnsCorrectBytes,0.001,0.007211538461538462
org.apache.avro.util.TestUtf8_1.testGetBytesFor_ValidString_ReturnsUtf8Bytes,0.001,0.007211538461538462
org.apache.avro.util.TestUtf8_1.testGetBytes_ReturnsInternalArray_Success,0.001,0.013221153846153846
org.apache.avro.util.TestUtf8_1.testGetLength_Deprecated_ReturnsCorrectLength,0.001,0.009615384615384616
org.apache.avro.util.TestUtf8_1.testHashCode_ConsistentAcrossCalls_Success,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testHashCode_DifferentContent_DifferentHashCode,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testHashCode_EmptyUtf8_ReturnsZero,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testHashCode_SameContent_SameHashCode,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testLength_CharSequence_ReturnsCharacterCount,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testLength_Unicode_ReturnsCharacterCount,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testSetByteLength_ExceedsMaxLength_ThrowsException,0.001,0.007211538461538462
org.apache.avro.util.TestUtf8_1.testSetByteLength_ExpandArray_CreatesNewArrayAndCopiesData,0.001,0.02403846153846154
org.apache.avro.util.TestUtf8_1.testSetByteLength_ReturnsThis_ForMethodChaining,0.001,0.016826923076923076
org.apache.avro.util.TestUtf8_1.testSetByteLength_SameLengthNoExpansion_ClearsStringCache,0.001,0.019230769230769232
org.apache.avro.util.TestUtf8_1.testSetByteLength_SmallerLength_KeepsSameArray,0.001,0.020432692307692308
org.apache.avro.util.TestUtf8_1.testSetByteLength_ZeroLength_Success,0.001,0.016826923076923076
org.apache.avro.util.TestUtf8_1.testSetLength_DelegatesTo_SetByteLength,0.001,0.020432692307692308
org.apache.avro.util.TestUtf8_1.testSet_EmptyString_Success,0.001,0.015625
org.apache.avro.util.TestUtf8_1.testSet_UnicodeString_Success,0.001,0.018028846153846152
org.apache.avro.util.TestUtf8_1.testSet_ValidString_UpdatesContent,0.001,0.016826923076923076
org.apache.avro.util.TestUtf8_1.testStringConstructor_EmptyString_Success,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testStringConstructor_UnicodeString_Success,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testStringConstructor_ValidString_Success,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testSubSequence_FullRange_ReturnsFullString,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testSubSequence_InvalidRange_ThrowsException,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testSubSequence_ValidRange_ReturnsCorrectSubstring,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testToString_AfterByteModification_RecalculatesString,0.001,0.015625
org.apache.avro.util.TestUtf8_1.testToString_CachesString_ReturnsSameInstance,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testToString_EmptyUtf8_ReturnsEmptyString,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testToString_ValidUtf8_ReturnsCorrectString,0.001,0.010817307692307692
org.apache.avro.util.TestUtf8_1.testUtf8_Immutability_AfterCopyConstructor,0.001,0.02283653846153846
org.apache.avro.util.TestUtf8_1.testUtf8_LargeString_Success,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testUtf8_MultibyteCharacters_CorrectByteLength,0.001,0.01201923076923077
org.apache.avro.util.TestUtf8_1.testUtf8_SpecialCharacters_Success,0.001,0.010817307692307692
